Date,Open,High,Low,Close,Adj Close,Volume
2023-05-31,85.029999,85.769997,85.029999,85.500000,80.757507,55814
2023-06-01,85.820000,86.879997,85.750000,86.400002,81.607582,47945
2023-06-02,86.910004,87.790001,86.349998,87.790001,82.920479,53424
2023-06-05,87.790001,88.510002,87.150002,87.989998,83.109383,60532
2023-06-06,88.290001,88.400002,87.290001,87.449997,82.599335,50196
2023-06-07,87.510002,88.059998,86.470001,87.949997,83.071609,60477
2023-06-09,87.949997,88.760002,87.900002,88.599998,83.685555,57520
2023-06-12,88.610001,88.879997,87.620003,87.910004,83.033829,60463
2023-06-13,86.500000,86.839996,85.519997,86.580002,82.592636,61405
2023-06-14,86.580002,87.050003,86.199997,86.760002,82.764366,39878
2023-06-15,87.080002,87.589996,86.879997,87.029999,83.021912,49547
2023-06-16,87.150002,87.980003,87.150002,87.940002,83.890015,53438
2023-06-19,87.750000,88.230003,87.500000,87.989998,83.937706,72453
2023-06-20,88.000000,88.800003,87.500000,88.699997,84.614998,64983
2023-06-21,88.750000,88.800003,88.070000,88.379997,84.309753,63206
2023-06-22,88.300003,88.379997,87.720001,87.889999,83.842308,58643
2023-06-23,88.099998,88.379997,87.500000,87.610001,83.575203,53340
2023-06-26,87.709999,87.949997,86.589996,87.000000,82.993301,56870
2023-06-27,87.150002,87.889999,87.150002,87.750000,83.708763,49223
2023-06-28,87.750000,89.400002,87.320000,89.400002,85.282761,89949
2023-06-29,88.980003,89.400002,88.160004,88.559998,84.481445,52677
2023-06-30,88.559998,89.400002,88.559998,88.820000,84.729469,61184
2023-07-03,88.989998,89.290001,88.160004,88.580002,84.500542,61699
2023-07-04,89.000000,89.180000,88.250000,88.750000,84.662704,53085
2023-07-05,88.800003,89.000000,88.570000,88.669998,84.586388,51875
2023-07-06,88.820000,89.139999,88.500000,88.839996,84.748550,50592
2023-07-07,88.839996,90.000000,88.809998,89.900002,85.759735,41451
2023-07-10,89.860001,90.000000,89.500000,89.839996,85.702507,54650
2023-07-11,89.849998,89.930000,89.540001,89.779999,85.645271,49422
2023-07-12,88.800003,88.900002,87.809998,88.110001,84.879356,58675
2023-07-13,88.160004,88.500000,87.400002,87.400002,84.195389,52109
2023-07-14,87.650002,88.099998,87.610001,88.000000,84.773384,50208
2023-07-17,88.000000,88.169998,87.599998,87.830002,84.609619,48428
2023-07-18,87.860001,88.040001,87.730003,87.870003,84.648155,49424
2023-07-19,87.870003,88.000000,87.690002,87.800003,84.580719,44328
2023-07-20,87.809998,88.000000,86.699997,86.750000,83.569221,53079
